COW_code,COW_name,start_year,end_year,COW_status,sovereign_COW_code,GPH_code,GPH_name,start_year,end_year,GPH_status,sovereign_GPH_code,change in GPH vs. COW
812,Laos,1893,1945,part of,810,812,Laos,1893,1954,Part of,810,change in year
812,Laos,1945,1949,part of,810,,,,,,,
812,Laos,1949,1954,colony,220,812,Laos,1893,1953,Protectorate of,220,change in year and status
,,,,,,812,Laos,1945,1945,Occupied by,740,not in COW
812,Laos,1953,2016,sovereign,,812,Laos,1954,2022,Sovereign,,
812,Laos,1975,1989,occupied,816,812,Laos,1975,1989,Occupied by,816,
,,,,,,815,Vietnam,1816,1887,Sovereign (unrecognized),,not in COW
815,Vietnam,1887,1949,part of,810,815,Vietnam,1887,1887,Dissolved into,810,change in year and status
,,,,,,815,Vietnam,1945,1946,Occupied by,710,not in COW
,,,,,,815,Vietnam,1946,1949,Colony of,220,not in COW
815,Vietnam,1949,1954,colony,220,815,Vietnam,1949,1955,Associated state of,220,change in status
815,Vietnam,1954,1993,part of,816,815,Vietnam,1954,1954,Dissolved into,816,change in year and status
815,Vietnam,1954,1975,part of,817,815,Vietnam,1955,1955,Dissolved into,817,change in year and status
,,,,,,815,Vietnam,1975,2022,Sovereign,,not in COW
816,"Vietnam, Democratic Rep.",1887,1949,part of,810,,,,,,,not in GPH
816,"Vietnam, Democratic Rep.",1945,1946,occupied,710,,,,,,,not in GPH
816,"Vietnam, Democratic Rep.",1949,1954,colony,220,816,"Vietnam, Democratic Rep.",1945,1954,Colony of,220,
816,Vietnam,1954,2016,sovereign,,816,"Vietnam, Democratic Rep.",1954,1975,Sovereign,,change in name and year
,,,,,,816,"Vietnam, Democratic Rep.",1975,1975,Dissolved into,815,not in COW
817,"Vietnam, Republic of",1887,1949,part of,810,,,,,,,not in GPH
817,"Vietnam, Republic of",1949,1954,colony,220,,,,,,,not in GPH
817,Republic of Vietnam,1954,1975,sovereign,,817,Republic of Vietnam,1955,1975,Sovereign,,
817,"Vietnam, Republic of",1975,1993,part of,816,817,Republic of Vietnam,1975,1975,Dissolved into,815,"change in name, year and status"
,,,,,,820,Malaysia (British Malaya),1826,1946,Informal,,not in COW
820,Malaysia (Malaya),1946,1957,colony,200,820,Malaysia (British Malaya),1946,1948,Colony of,200,change in name
,,,,,,820,Malaysia (British Malaya),1948,1957,Colony of,200,
820,Malaysia,1957,2016,sovereign,,820,Malaysia (British Malaya),1957,2022,Sovereign,,change in name
821,Federated Malay States,1816,1896,part of,8201,,,,,,,not in GPH
821,Federated Malay States,1816,1896,part of,8210,,,,,,,not in GPH
821,Federated Malay States,1816,1896,part of,8202,,,,,,,not in GPH
821,Federated Malay States,1816,1896,part of,8203,,,,,,,not in GPH
821,Federated Malay States,1896,1942,colony,200,821,Federated Malay States,1896,1942,Colony of,200,
821,Federated Malay States,1942,1945,occupied,740,821,Federated Malay States,1942,1945,Occupied by,740,
821,Federated Malay States,1945,1946,colony,200,821,Federated Malay States,1945,1946,Colony of,200,
821,Federated Malay States,1946,1993,part of,820,821,Federated Malay States,1946,1946,Dissolved into,820,change in year and status
,,,,,,823,Sabah (North Borneo),1816,1878,Part of,8401,not in COW
823,Sabah (North Borneo),1816,1888,part of,835,823,Sabah (North Borneo),1816,1878,Part of,835,change in year
,,,,,,823,Sabah (North Borneo),1878,1888,Leased to,200,not in COW
823,Sabah (North Borneo),1888,1942,protectorate,200,823,Sabah (North Borneo),1888,1942,Protectorate of,200,
823,Sabah (North Borneo),1942,1945,occupied,740,823,Sabah (North Borneo),1942,1945,Occupied by,740,
823,Sabah (North Borneo),1945,1963,colony,200,823,Sabah (North Borneo),1945,1963,Colony of,200,
823,Sabah (North Borneo),1963,1993,part of,820,823,Sabah (North Borneo),1963,2022,Part of,820,
,,,,,,823,Sabah (North Borneo),1963,2022,Claimed by,840,not in COW
824,Sarawak,1816,1841,part of,835,824,Sarawak,1816,1841,Part of,835,
,,,,,,824,Sarawak,1841,1888,Sovereign (unrecognized),,not in COW
824,Sarawak,1888,1941,protectorate,200,824,Sarawak,1888,1941,Protectorate of,200,
824,Sarawak,1941,1945,occupied,740,824,Sarawak,1941,1945,Occupied by,740,
824,Sarawak,1945,1963,colony,200,824,Sarawak,1945,1963,Colony of,200,
824,Sarawak,1963,1993,part of,820,824,Sarawak,1963,2022,Part of,820,
827,Straits Settlements,1826,1942,colony,200,827,Straits Settlements,1826,1942,Colony of,200,
827,Straits Settlements,1826,1867,part of,750,827,,,,,,not in GPH
827,Straits Settlements,1942,1945,occupied,740,827,Straits Settlements,1942,1945,Occupied by,740,
827,Straits Settlements,1945,1946,colony,200,827,Straits Settlements,1945,1946,Colony of,200,
827,Straits Settlements,1946,1993,part of,820,827,Straits Settlements,1946,1946,Dissolved into,820,change in year and status
,,,,,,827,Straits Settlements,1946,1946,Dissolved into,823,not in COW
,,,,,,827,Straits Settlements,1946,1946,Dissolved into,830,not in COW
,,,,,,830,Singapore,1816,1824,Part of,8221,not in COW
,,,,,,830,Singapore,1824,1826,Colony of,200,not in COW
830,Singapore,1826,1946,part of,827,830,Singapore,1826,1946,Part of,827,
830,Singapore,1946,1963,colony,200,830,Singapore,1946,1963,Colony of,200,
830,Singapore,1963,1965,part of,820,830,Singapore,1963,1965,Part of,820,
830,Singapore,1965,2016,sovereign,,830,Singapore,1965,2022,Sovereign,,
,,,,,,835,Brunei,1816,1888,Sovereign (unrecognized),,not in COW
835,Brunei,1888,1941,protectorate,200,835,Brunei,1888,1941,Protectorate of,200,
835,Brunei,1941,1945,occupied,740,835,Brunei,1941,1945,Occupied by,740,
835,Brunei,1945,1983,protectorate,200,835,Brunei,1945,1983,Protectorate of,200,
835,Brunei,1984,2016,sovereign,,835,Brunei,1984,2022,Sovereign,,
840,Philippines,1816,1821,part of,1070,840,Philippines,1816,1821,Part of,1070,
840,Philippines,1816,1898,colony,230,840,Philippines,1821,1898,Colony of,230,change in year
840,Philippines,1898,1942,colony,2,840,Philippines,1898,1942,Colony of,2,
840,Philippines,1942,1945,occupied,740,840,Philippines,1942,1945,Occupied by,740,
840,Philippines,1945,1946,colony,2,840,Philippines,1945,1946,Colony of,2,
840,Philippines,1946,2016,sovereign,,840,Philippines,1946,2022,Sovereign,,
850,Indonesia (Dutch East Indies),1816,1816,occupied,200,850,Indonesia (Dutch East Indies),1816,1816,Occupied by,200,
850,Indonesia (Dutch East Indies),1816,1949,colony,210,850,Indonesia (Dutch East Indies),1816,1942,Colony of,210,change in year
850,Indonesia (Dutch East Indies),1942,1945,occupied,740,850,Indonesia (Dutch East Indies),1942,1945,Occupied by,740,
,,,,,,850,Indonesia (Dutch East Indies),1945,1949,Sovereign (unrecognized),,not in COW
850,Indonesia,1949,2016,sovereign,,850,Indonesia (Dutch East Indies),1949,2022,Sovereign,,change in name
,,,,,,851,West Irian (Dutch New Guinea),1816,1828,Part of,9100,not in COW
851,West Irian (Dutch New Guinea),1828,1942,part of,850,851,West Irian (Dutch New Guinea),1828,1942,Part of,850,
851,West Irian (Dutch New Guinea),1942,1945,occupied,740,851,West Irian (Dutch New Guinea),1942,1945,Occupied by,740,
851,West Irian (Dutch New Guinea),1945,1949,part of,850,851,West Irian (Dutch New Guinea),1945,1949,Part of,850,
851,West Irian (Dutch New Guinea),1949,1962,colony,210,851,West Irian (Dutch New Guinea),1949,1962,Colony of,210,
851,West Irian (Dutch New Guinea),1962,1963,protectorate,1,851,West Irian (Dutch New Guinea),1962,1963,Protectorate of,1,
851,West Irian (Dutch New Guinea),1963,1969,occupied,850,851,West Irian (Dutch New Guinea),1963,1969,Occupied by,850,
851,West Irian (Dutch New Guinea),1969,1993,part of,850,851,West Irian (Dutch New Guinea),1969,2022,Dependency of,850,change in status
860,Portuguese Timor,1816,1942,colony,235,860,East Timor (Portuguese Timor),1816,1942,Colony of,235,change in name
860,Portuguese Timor,1942,1945,occupied,740,860,East Timor (Portuguese Timor),1942,1945,Occupied by,740,change in name
860,Portuguese Timor,1945,1975,colony,235,860,East Timor (Portuguese Timor),1945,1975,Colony of,235,change in name
860,Portuguese Timor,1975,1976,occupied,850,860,East Timor (Portuguese Timor),1975,1976,Occupied by,850,change in name
860,Portuguese Timor,1976,1993,part of,850,860,East Timor (Portuguese Timor),1976,2002,Part of,850,change in name
860,East Timor,2002,2016,sovereign,,860,East Timor (Portuguese Timor),2002,2022,Sovereign,,change in name
,,,,,,900,Australia,1816,1901,Informal,,not in COW
900,Australia,1816,1901,part of,901,,,,,,,not in GPH
900,Australia,1825,1901,part of,906,,,,,,,not in GPH
900,Australia,1829,1901,part of,902,,,,,,,not in GPH
900,Australia,1836,1901,part of,903,,,,,,,not in GPH
900,Australia,1851,1901,part of,904,,,,,,,not in GPH
900,Australia,1859,1901,part of,905,,,,,,,not in GPH
900,Australia,1901,1919,colony,200,900,Australia,1901,1919,Colony of,200,
900,Australia,1920,2016,sovereign,,900,Australia,1920,2022,Sovereign,,
901,New South Wales,1816,1901,colony,200,901,New South Wales,1816,1901,Colony of,200,
901,New South Wales,1901,1993,part of,900,901,New South Wales,1901,2022,Part of,900,
,,,,,,902,Western Australia,1816,1829,Discovered,,not in COW
902,Western Australia,1829,1901,colony,200,902,Western Australia,1829,1901,Colony of,200,
902,Western Australia,1901,1993,part of,900,902,Western Australia,1901,2022,Part of,900,
,,,,,,903,South Australia,1816,1836,Part of,901,not in COW
903,South Australia,1836,1901,colony,200,903,South Australia,1836,1901,Colony of,200,
903,South Australia,1901,1993,part of,900,903,South Australia,1901,2022,Part of,900,
904,Victoria,1816,1851,part of,901,904,Victoria,1816,1851,Part of,901,
904,Victoria,1851,1901,colony,200,904,Victoria,1851,1901,Colony of,200,
904,Victoria,1901,1993,part of,900,904,Victoria,1901,2022,Part of,900,
905,Queensland,1816,1859,part of,901,905,Queensland,1816,1859,Part of,901,
905,Queensland,1859,1901,colony,200,905,Queensland,1859,1901,Colony of,200,
905,Queensland,1901,1993,part of,900,905,Queensland,1901,2022,Part of,900,
906,Tasmania,1816,1825,part of,901,906,Tasmania,1816,1825,Part of,901,
906,Tasmania,1825,1901,colony,200,906,Tasmania,1825,1901,Colony of,200,
906,Tasmania,1901,1993,part of,900,906,Tasmania,1901,2022,Part of,900,
910,Papua New Guinea,1884,1949,part of,911,,,,,,,not in GPH
910,Papua New Guinea,1949,1975,mandated,900,,,,,,,not in GPH
,,,,,,910,Papua New Guinea,1949,1975,Part of,911,not in COW
,,,,,,910,Papua New Guinea,1949,1975,Part of,912,not in COW
910,Papua New Guinea,1975,2016,sovereign,,910,Papua New Guinea,1975,2022,Sovereign,,
,,,,,,911,Papua (British New Guinea),1816,1883,Part of,9100,not in COW
,,,,,,911,Papua (British New Guinea),1883,1884,Part of,905,not in COW
911,Papua,1884,1888,protectorate,200,911,Papua (British New Guinea),1884,1888,Protectorate of,200,change in name
911,Papua,1888,1920,colony,200,911,Papua (British New Guinea),1888,1902,Colony of,200,change in name and year
911,Papua,1920,1949,colony,900,911,Papua (British New Guinea),1902,1975,Dependency of,900,"change in name, year and status"
911,Papua,1949,1993,part of,910,911,Papua (British New Guinea),1975,1975,Dissolved into,910,"change in name, year and status"
,,,,,,912,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1816,1884,Part of,9100,not in COW
912,"New Guinea (German New Guinea) (Kaiser
Wilhelmsland)",1884,1914,colony,255,912,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1884,1914,Colony of,255,
912,"New Guinea (German New Guinea) (Kaiser
Wilhelmsland)",1914,1921,occupied,900,912,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1914,1920,Occupied by,900,
,,,,,,912,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1919,1919,Dissolved into,980,not in COW
912,"New Guinea (German New Guinea) (Kaiser
Wilhelmsland)",1921,1975,mandated,900,912,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1920,1975,Mandated to,900,
912,"New Guinea (German New Guinea) (Kaiser
Wilhelmsland)",1949,1993,part of,910,912,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1975,1975,Dissolved into,910,change in year and status
,,,,,,920,New Zealand,1816,1840,Part of,901,not in COW
920,New Zealand,1840,1920,colony,200,920,New Zealand,1840,1920,Colony of,200,
920,New Zealand,1920,2016,sovereign,,920,New Zealand,1920,2022,Sovereign,,
,,,,,,925,Cook Is.,1816,1888,Discovered,,not in COW
925,Cook Is.,1888,1901,protectorate,200,925,Cook Is.,1888,1901,Protectorate of,200,
925,Cook Is.,1901,1993,colony,920,925,Cook Is.,1901,1965,Colony of,920,change in year
,,,,,,925,Cook Is.,1965,2022,Associated state of,920,not in COW
,,,,,,930,New Caledonia and Dependencies,1816,1853,Sovereign (unrecognized),,not in COW
930,New Caledonia and Dependencies,1853,1993,colony,220,930,New Caledonia and Dependencies,1853,1946,Colony of,220,change in year
,,,,,,930,New Caledonia and Dependencies,1946,1986,Dependency of,220,not in COW
,,,,,,930,New Caledonia and Dependencies,1986,2022,Colony of,220,not in COW
,,,,,,935,Vanuatu (New Hebrides),1816,1906,Discovered,,not in COW
935,Vanuatu (New Hebrides),1906,1980,colony,200,935,Vanuatu (New Hebrides),1906,1980,Colony of,200,
,,,,,,935,Vanuatu (New Hebrides),1906,1980,Colony of,220,not in COW
935,Vanuatu,1981,2016,sovereign,,935,Vanuatu (New Hebrides),1981,2022,Sovereign,,change in name
,,,,,,940,Solomon Islands (British Solomon Islands Protectorate),1816,1893,Discovered,,not in COW
940,Solomon Islands,1893,1978,protectorate,200,940,Solomon Islands (British Solomon Islands Protectorate),1893,1978,Protectorate of,200,change in name
,,,,,,940,Solomon Islands (British Solomon Islands Protectorate),1942,1945,Occupied by,740,not in COW
940,Solomon Islands,1978,2016,sovereign,,940,Solomon Islands (British Solomon Islands Protectorate),1978,2022,Sovereign,,change in name
945,Gilbert and Ellice Is.,1892,1916,protectorate,200,945,Gilbert and Ellice Is.,1892,1916,Protectorate of,200,
945,Gilbert and Ellice Is.,1916,1975,colony,200,945,Gilbert and Ellice Is.,1916,1975,Colony of,200,
945,Gilbert and Ellice Is.,1975,1993,part of,946,945,Gilbert and Ellice Is.,1975,1975,Dissolved into,946,change in year and status
,,,,,,945,Gilbert and Ellice Is.,1975,1975,Dissolved into,947,not in COW
,,,,,,946,Kiribati,1816,1892,Discovered,,not in COW
946,Kiribati,1892,1975,part of,945,946,Kiribati,1892,1975,Part of,945,
946,Kiribati,1975,1979,colony,200,946,Kiribati,1975,1999,Colony of,200,change in year
946,Kiribati,1999,2016,sovereign,,946,Kiribati,1999,2022,Sovereign,,
,,,,,,947,Tuvalu,1816,1892,Discovered,,not in COW
947,Tuvalu,1892,1975,part of,945,947,Tuvalu,1892,1975,Part of,945,
947,Tuvalu,1975,1979,colony,200,947,Tuvalu,1975,2000,Colony of,200,change in year
947,Tuvalu,2000,2016,sovereign,,947,Tuvalu,2000,2022,Sovereign,,
,,,,,,950,Fiji,1816,1871,Discovered,,not in COW
,,,,,,950,Fiji,1871,1874,Sovereign (unrecognized),,not in COW
950,Fiji,1874,1970,colony,200,950,Fiji,1874,1970,Colony of,200,
950,Fiji,1970,2016,sovereign,,950,Fiji,1970,2022,Sovereign,,
955,Tonga,1816,1845,part of,9553,,,,,,,not in GPH
955,Tonga,1816,1833,part of,9551,,,,,,,not in GPH
,,,,,,955,Tonga (Ha?apai),1820,1900,Sovereign (unrecognized),,not in COW
955,Tonga,1900,1970,protectorate,200,955,Tonga (Ha?apai),1900,1970,Protectorate of,200,change in name
,,,,,,955,Tonga (Ha?apai),1970,1999,Sovereign (unrecognized),,not in COW
955,Tonga,1999,2016,sovereign,,955,Tonga (Ha?apai),1999,2022,Sovereign,,change in name
,,,,,,960,French Polynesia,1816,1842,Sovereign (unrecognized),,not in COW
,,,,,,960,French Polynesia,1842,1903,Protectorate of,220,not in COW
960,French Polynesia,1903,1993,colony,220,960,French Polynesia,1903,2022,Colony of,220,
,,,,,,970,Nauru,1816,1888,Sovereign (unrecognized),,not in COW
970,Nauru,1888,1914,part of,9830,970,Nauru,1888,1914,Colony of,255,change in status
970,Nauru,1914,1919,occupied,900,970,Nauru,1914,1919,Occupied by,900,
970,Nauru,1919,1942,mandated,900,970,Nauru,1919,1942,Mandated to,900,
970,Nauru,1942,1945,occupied,740,970,Nauru,1942,1945,Occupied by,740,
970,Nauru,1945,1968,mandated,900,970,Nauru,1945,1968,Mandated to,900,
,,,,,,970,Nauru,1968,1999,Sovereign (unrecognized),,not in COW
970,Nauru,1999,2016,sovereign,,970,Nauru,1999,2022,Sovereign,,
980,U. S. Pacific Trust Territories,1885,1914,colony,255,,,,,,,not in GPH
980,U. S. Pacific Trust Territories,1914,1920,occupied,740,,,,,,,not in GPH
980,U. S. Pacific Trust Territories,1920,1944,mandated,740,980,U. S. Pacific Trust Territories (South Seas Mandate),1919,1947,Mandated to,740,change in year
980,U. S. Pacific Trust Territories,1944,1947,occupied,2,,,,,,,not in GPH
980,U. S. Pacific Trust Territories,1947,1994,mandated,2,980,U. S. Pacific Trust Territories (South Seas Mandate),1947,1994,Mandated to,2,
,,,,,,983,Marshall Is.,1816,1885,Discovered,,not in COW
983,Marshall Is.,1885,1914,colony,255,983,Marshall Is.,1885,1914,Protectorate of,255,change in status
983,Marshall Is.,1914,1920,occupied,740,983,Marshall Is.,1914,1920,Occupied by,740,
983,Marshall Is.,1920,1945,mandated,740,983,Marshall Is.,1920,1945,Mandated to,740,
983,Marshall Is.,1945,1947,occupied,2,983,Marshall Is.,1945,1947,Occupied by,2,
983,Marshall Is.,1947,1986,part of,980,983,Marshall Is.,1947,1979,Part of,980,
,,,,,,983,Marshall Is.,1979,1991,Sovereign (unrecognized),,not in COW
983,Marshall Islands,1991,2016,sovereign,,983,Marshall Is.,1991,2022,Sovereign,,
,,,,,,984,Northern Marianas Is.,1816,1898,Part of,9820,not in COW
,,,,,,984,Northern Marianas Is.,1898,1919,Part of,912,not in COW
,,,,,,984,Northern Marianas Is.,1919,1945,Mandated to,740,not in COW
,,,,,,984,Northern Marianas Is.,1945,1947,Occupied by,2,not in COW
984,Northern Marianas Is.,1947,1986,part of,980,984,Northern Marianas Is.,1947,1986,Part of,980,
,,,,,,984,Northern Marianas Is.,1986,2022,Dependency of,2,not in COW
985,Guam,1816,1898,part of,9820,985,Guam,1816,1898,Part of,9820,
985,Guam,1898,1941,colony,2,985,Guam,1898,1941,Colony of,2,
985,Guam,1941,1944,occupied,740,985,Guam,1941,1944,Occupied by,740,
985,Guam,1944,1993,colony,2,985,Guam,1944,2022,Colony of,2,
,,,,,,986,Palau,1816,1947,Part of,9810,not in COW
986,Republic of Palau,1947,1994,part of,980,986,Palau,1947,1994,Part of,980,change in name
986,Palau,1994,2016,sovereign,,986,Palau,1994,2022,Sovereign,,
,,,,,,987,Federated States of Micronesia,1816,1947,Part of,9810,not in COW
987,Federated States of Micronesia,1947,1986,part of,980,987,Federated States of Micronesia,1947,1986,Part of,980,
,,,,,,987,Federated States of Micronesia,1986,1991,Dependency of,2,not in COW
987,Federated States of Micronesia,1991,2016,sovereign,,987,Federated States of Micronesia,1991,2022,Sovereign,,
990,Western Samoa,1816,1900,part of,9900,,,,,,,not in GPH
990,Western Samoa,1900,1914,colony,255,990,Samoa (Western Samoa) (German Samoa),1900,1914,Colony of,255,change in name
990,Western Samoa,1914,1920,occupied,920,990,Samoa (Western Samoa) (German Samoa),1914,1920,Occupied by,920,change in name
990,Western Samoa,1920,1962,mandated,920,990,Samoa (Western Samoa) (German Samoa),1920,1962,Mandated to,920,change in name
,,,,,,990,Samoa (Western Samoa) (German Samoa),1962,1976,Sovereign (unrecognized),,not in COW
990,Samoa,1976,2016,sovereign,,990,Samoa (Western Samoa) (German Samoa),1976,2022,Sovereign,,change in name
991,American Samoa,1816,1900,part of,9900,,,,,,,not in GPH
991,American Samoa,1900,1993,colony,2,991,American Samoa,1900,2022,Colony of,2,
1001,States of America,1816,1861,part of,2,,,,,,,not in GPH
1001,States of America,1861,1877,occupied,2,1001,States of America,1861,1877,Occupied by,2,
1001,States of America,1877,1993,part of,2,1001,States of America,1877,1877,Dissolved into,2,change in year and status
1002,Confederate States of America,1816,1861,part of,2,,,,,,,not in GPH
,,,,,,1002,Confederate States of America,1861,1865,Sovereign (limited),,not in COW
1002,Confederate States of America,1865,1877,occupied,2,1002,Confederate States of America,1865,1877,Occupied by,2,
1002,Confederate States of America,1877,1993,part of,2,1002,Confederate States of America,1877,1877,Dissolved into,2,change in year and status
1003,Attu and Kiska,1816,1942,part of,3,1003,Attu and Kiska,1816,1942,Part of,3,
1003,Attu and Kiska,1942,1943,occupied,740,1003,Attu and Kiska,1942,1943,Occupied by,740,
1003,Attu and Kiska,1943,1993,part of,3,1003,Attu and Kiska,1943,2022,Part of,3,
1004,North Carolina,1816,1861,part of,2,1004,North Carolina,1816,1861,Part of,2,
1004,North Carolina,1861,1865,part of,1002,1004,North Carolina,1861,1865,Part of,1002,
1004,North Carolina,1865,1993,part of,2,1004,North Carolina,1865,2022,Part of,2,
1005,Virginia,1816,1861,part of,2,1005,Virginia,1816,1861,Part of,2,
1005,Virginia,1861,1865,part of,1002,1005,Virginia,1861,1865,Part of,1002,
1005,Virginia,1865,1993,part of,2,1005,Virginia,1865,2022,Part of,2,
1006,Tennessee,1816,1861,part of,2,1006,Tennessee,1816,1861,Part of,2,
1006,Tennessee,1861,1865,part of,1002,1006,Tennessee,1861,1865,Part of,1002,
1006,Tennessee,1865,1993,part of,2,1006,Tennessee,1865,2022,Part of,2,
1007,Arkansas,1816,1861,part of,2,1007,Arkansas,1816,1861,Part of,2,
1007,Arkansas,1861,1865,part of,1002,1007,Arkansas,1861,1865,Part of,1002,
1007,Arkansas,1865,1993,part of,2,1007,Arkansas,1865,2022,Part of,2,
1008,Florida,1816,1819,part of,1070,1008,Florida,1816,1819,Part of,1070,
1008,Florida,1819,1861,part of,2,1008,Florida,1819,1861,Part of,2,
1008,Florida,1861,1865,part of,1002,1008,Florida,1861,1865,Part of,1002,
1008,Florida,1865,1993,part of,2,1008,Florida,1865,2022,Part of,2,
1009,South Carolina (Palmetto Republic),1816,1860,part of,2,1009,South Carolina (Palmetto Republic),1816,1861,Part of,2,
1009,South Carolina (Palmetto Republic),1861,1865,part of,1002,1009,South Carolina (Palmetto Republic),1861,1865,Part of,1002,
1009,South Carolina (Palmetto Republic),1865,1993,part of,2,1009,South Carolina (Palmetto Republic),1865,2022,Part of,2,
1010,Georgia,1816,1861,part of,2,1010,Georgia (U.S.),1816,1861,Part of,2,change in name
1010,Georgia,1861,1865,part of,1002,1010,Georgia (U.S.),1861,1865,Part of,1002,change in name
1010,Georgia,1865,1993,part of,2,1010,Georgia (U.S.),1865,2022,Part of,2,change in name
,,,,,,1011,Alabama,1816,1821,Part of,1070,not in COW
1011,Alabama,1816,1861,part of,2,1011,Alabama,1821,1861,Part of,2,change in year
1011,Alabama,1861,1865,part of,1002,1011,Alabama,1861,1865,Part of,1002,
1011,Alabama,1865,1993,part of,2,1011,Alabama,1865,2022,Part of,2,
,,,,,,1012,Mississippi,1816,1821,Part of,1070,not in COW
1012,Mississippi,1816,1861,part of,2,1012,Mississippi,1821,1861,Part of,2,change in year
1012,Mississippi,1861,1865,part of,1002,1012,Mississippi,1861,1865,Part of,1002,
1012,Mississippi,1865,1993,part of,2,1012,Mississippi,1865,2022,Part of,2,
,,,,,,1013,Louisiana,1816,1821,Part of,1070,not in COW
1013,Louisana,1816,1861,part of,2,1013,Louisiana,1821,1861,Part of,2,change in year
1013,Louisana,1861,1865,part of,1002,1013,Louisiana,1861,1865,Part of,1002,
1013,Louisana,1865,1993,part of,2,1013,Louisiana,1865,2022,Part of,2,
,,,,,,1014,California (Great Bear Republic),1816,1821,Part of,1070,not in COW
1014,California (Great Bear Republic),1816,1846,part of,70,1014,California (Great Bear Republic),1821,1846,Part of,70,change in year
1014,California (Great Bear Republic),1846,1993,part of,2,1014,California (Great Bear Republic),1846,2022,Part of,2,
1015,Cherokee,1816,1993,part of,2,1015,Cherokee,1816,2022,Part of,2,
,,,,,,1016,Oregon (Oregon Country),1816,1821,Part of,1070,not in COW
1016,Oregon Country,1816,1825,claimed,365,1016,Oregon (Oregon Country),1816,1825,Claimed by,365,change in name
1016,Oregon Country,1816,1819,claimed,230,1016,Oregon (Oregon Country),1816,1819,Claimed by,230,change in name
1016,Oregon Country,1816,1846,claimed,200,1016,Oregon (Oregon Country),1818,1848,Claimed by,2,change in name and sovereign code
1016,Oregon Country,1818,1846,occupied,200,1016,Oregon (Oregon Country),1818,1846,Occupied by,200,change in name
1016,Oregon Country,1846,1849,possession,200,1016,Oregon (Oregon Country),1846,1849,Possession of,200,change in name
1016,Oregon Country,1846,1993,part of,2,1016,Oregon (Oregon Country),1848,2022,Part of,2,change in name and year
1016,Oregon Country,1849,1866,part of,1028,1016,Oregon (Oregon Country),1849,1849,Dissolved into,1028,"change in name, year and status"
1016,Oregon Country,1858,1871,part of,1027,1016,Oregon (Oregon Country),1849,1849,Dissolved into,1027,"change in name, year and status"
1016,Oregon Country,1871,1993,part of,20,,,,,,,not in GPH
1017,Eastern Greenland,1931,1933,possession,385,1017,Eastern Greenland,1931,1933,Possession of,385,
1017,Eastern Greenland,1933,1993,part of,10,1017,Eastern Greenland,1933,2022,Part of,10,
1018,U.S. leased Bases in Newfoundland,1816,1940,part of,21,,,,,,,not in GPH
1018,U.S. leased Bases in Newfoundland,1940,1945,leased,2,1018,U.S. Leased Bases in Newfoundland,1940,1994,Leased to,2,change in year
1018,U.S. leased Bases in Newfoundland,1945,1993,part of,21,1018,U.S. Leased Bases in Newfoundland,1994,1994,Dissolved into,21,change in year and status
1019,Rupert's Land,1816,1869,possession,200,1019,Rupert's Land,1816,1870,Possession of,200,
,,,,,,1019,Rupert's Land,1870,1870,Dissolved into,10201,not in COW
,,,,,,1019,Rupert's Land,1870,1870,Dissolved into,10204,not in COW
1019,Rupert's Land,1869,1993,part of,20,,,,,,,not in GPH
1020,San Juan Island,1816,1860,claimed,2,1020,San Juan Island,1816,1860,Claimed by,2,
1020,San Juan Island,1860,1872,occupied,2,1020,San Juan Island,1860,1872,Occupied by,2,
1020,San Juan Island,1872,1993,part of,2,1020,San Juan Island,1872,2022,Part of,2,
1021,Cape Breton I.,1816,1820,colony,200,1021,Cape Breton I.,1816,1820,Colony of,200,
1021,Cape Breton I.,1820,1867,part of,1022,1021,Cape Breton I.,1820,2022,Part of,1022,change in year
1021,Cape Breton I.,1867,1993,part of,20,,,,,,,not in GPH
1022,Nova Scotia,1816,1867,colony,200,1022,Nova Scotia,1816,1867,Colony of,200,
1022,Nova Scotia,1867,1993,part of,20,1022,Nova Scotia,1867,2022,Part of,20,
1023,New Brunswick,1816,1867,colony,200,1023,New Brunswick,1816,1867,Colony of,200,
1023,New Brunswick,1867,1993,part of,20,1023,New Brunswick,1867,2022,Part of,20,
1024,Prince Edward Is.,1816,1873,colony,200,1024,Prince Edward Is.,1816,1873,Colony of,200,
1024,Prince Edward Is.,1873,1993,part of,20,1024,Prince Edward Is.,1873,2022,Part of,20,
1025,Quebec (Lower Canada),1816,1841,colony,200,1025,Quebec (Lower Canada),1816,1841,Colony of,200,
1025,Quebec (Lower Canada),1841,1993,part of,20,1025,Quebec (Lower Canada),1841,2022,Part of,20,
1026,Ontario (Upper Canada),1816,1841,colony,200,1026,Ontario (Upper Canada),1816,1841,Colony of,200,
1026,Ontario (Upper Canada),1841,1993,part of,20,1026,Ontario (Upper Canada),1841,2022,Part of,20,
,,,,,,1027,British Columbia,1816,1849,Part of,1016,not in COW
,,,,,,1027,British Columbia,1849,1858,Unknown,,not in COW
1027,British Columbia,1858,1871,colony,200,1027,British Columbia,1858,1871,Colony of,200,
